book_title, book_reference, author_names, avg_rating_num_ratings_year_published 
b'Blink: The Power of Thinking Without Thinking (Paperback)', b'/book/show/40102.Blink', b'Malcolm Gladwell', b'\n                avg rating 3.94 \xe2\x80\x94\n                483387 ratings  \xe2\x80\x94\n                published 2005\n              '
b'Rising Strong (Hardcover)', b'/book/show/23317538-rising-strong', b'Bren\xc3\xa9 Brown', b'\n                avg rating 4.24 \xe2\x80\x94\n                54545 ratings  \xe2\x80\x94\n                published 2015\n              '
b"Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life (Paperback)", b'/book/show/170548.Don_t_Sweat_the_Small_Stuff_and_It_s_All_Small_Stuff', b'Richard Carlson', b'\n                avg rating 3.98 \xe2\x80\x94\n                81900 ratings  \xe2\x80\x94\n                published 1997\n              '
b'The War of Art: Break Through the Blocks & Win Your Inner Creative Battles (Paperback)', b'/book/show/1319.The_War_of_Art', b'Steven Pressfield', b'\n                avg rating 4.00 \xe2\x80\x94\n                71979 ratings  \xe2\x80\x94\n                published 2002\n              '
b'Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time (Paperback)', b'/book/show/95887.Eat_That_Frog_', b'Brian Tracy', b'\n                avg rating 3.88 \xe2\x80\x94\n                45691 ratings  \xe2\x80\x94\n                published 2001\n              '
b'Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone (Hardcover)', b'/book/show/34565022-braving-the-wilderness', b'Bren\xc3\xa9 Brown', b'\n                avg rating 4.15 \xe2\x80\x94\n                64277 ratings  \xe2\x80\x94\n                published 2017\n              '
b'Awaken the Giant Within: How to Take Immediate Control of Your Mental; Emotional; Physical and Financial Destiny! (Paperback)', b'/book/show/180116.Awaken_the_Giant_Within', b'Tony Robbins', b'\n                avg rating 4.15 \xe2\x80\x94\n                55777 ratings  \xe2\x80\x94\n                published 1992\n              '
b'Grit: The Power of Passion and Perseverance (Hardcover)', b'/book/show/27213329-grit', b'Angela Duckworth', b'\n                avg rating 4.09 \xe2\x80\x94\n                67541 ratings  \xe2\x80\x94\n                published 2016\n              '
b'The Willpower Instinct: How Self-Control Works; Why It Matters; and What You Can Do to Get More of It (Hardcover)', b'/book/show/10865206-the-willpower-instinct', b'Kelly McGonigal', b'\n                avg rating 4.15 \xe2\x80\x94\n                26219 ratings  \xe2\x80\x94\n                published 2011\n              '
b'Better Than Before: Mastering the Habits of Our Everyday Lives (Hardcover)', b'/book/show/22889767-better-than-before', b'Gretchen Rubin', b'\n                avg rating 3.84 \xe2\x80\x94\n                33181 ratings  \xe2\x80\x94\n                published 2015\n              '
b'The Power of Positive Thinking (Hardcover)', b'/book/show/1134122.The_Power_of_Positive_Thinking', b'Norman Vincent Peale', b'\n                avg rating 4.15 \xe2\x80\x94\n                83668 ratings  \xe2\x80\x94\n                published 1952\n              '
b'The Magic of Thinking Big (Paperback)', b'/book/show/759945.The_Magic_of_Thinking_Big', b'David J. Schwartz', b'\n                avg rating 4.24 \xe2\x80\x94\n                68317 ratings  \xe2\x80\x94\n                published 1959\n              '
b'The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny (Paperback)', b'/book/show/43877.The_Monk_Who_Sold_His_Ferrari', b'Robin S. Sharma', b'\n                avg rating 3.85 \xe2\x80\x94\n                106319 ratings  \xe2\x80\x94\n                published 1996\n              '
b'The Highly Sensitive Person: How to Thrive When the World Overwhelms You (Paperback)', b'/book/show/923950.The_Highly_Sensitive_Person', b'Elaine N. Aron', b'\n                avg rating 3.87 \xe2\x80\x94\n                29163 ratings  \xe2\x80\x94\n                published 1996\n              '
b'Boundaries: When to Say Yes; How to Say No to Take Control of Your Life (Hardcover)', b'/book/show/944267.Boundaries', b'Henry Cloud', b'\n                avg rating 4.21 \xe2\x80\x94\n                50347 ratings  \xe2\x80\x94\n                published 1992\n              '
