book_title, book_reference, author_names, avg_rating, num_ratings, year_published 
The Millionaire Next Door: The Surprising Secrets of America's Wealthy (Paperback),/book/show/998.The_Millionaire_Next_Door,Thomas J. Stanley,4.04,75269,1995
Attached: The New Science of Adult Attachment and How It Can Help You Find\xe2\x80\x94and Keep\xe2\x80\x94Love (Hardcover),/book/show/9547888-attached,Amir Levine,4.14,18814,2010
Radical Acceptance: Embracing Your Life With the Heart of a Buddha (Paperback),/book/show/173666.Radical_Acceptance,Tara Brach,4.19,16371,2000
Get Your Sh*t Together: How to Stop Worrying About What You Should Do So You Can Finish What You Need to Do and Start Doing What You Want to Do (A No F*cks Given Guide),/book/show/31111142-get-your-sh-t-together,Sarah Knight,3.68,10879,2016
How to Read a Book: The Classic Guide to Intelligent Reading (Paperback),/book/show/567610.How_to_Read_a_Book,Mortimer J. Adler,4,16835,1940
Talking to Strangers: What We Should Know About the People We Don\xe2\x80\x99t Know (Hardcover),/book/show/43848929-talking-to-strangers,Malcolm Gladwell,4.04,126745,2019
Why Men Love Bitches (ebook),/book/show/9201647-why-men-love-bitches,Sherry Argov,3.9,36171,2002
Stumbling on Happiness (Paperback),/book/show/56627.Stumbling_on_Happiness,Daniel Todd Gilbert,3.83,52566,2006
The Dip: A Little Book That Teaches You When to Quit (and When to Stick),/book/show/324748.The_Dip,Seth Godin,3.84,25756,2007
The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships (Paperback),/book/show/31312.The_Dance_of_Anger,Harriet Lerner,4.07,19370,1985
The Four Tendencies: The Indispensable Personality Profiles That Reveal How to Make Your Life Better (and Other People's Lives Better; Too),/book/show/33566873-the-four-tendencies,Gretchen Rubin,3.86,14011,2017
The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert (Paperback),/book/show/849380.The_Seven_Principles_for_Making_Marriage_Work,John M. Gottman,4.23,16880,1999
